surface_id	parser	path	declaration	admitted_members	lifecycle_binding	promotion_blocker	producer_posture	semantic_role	production_consumer_path	production_consumer_pattern	resolution_route	deferral_date	deferral_provenance	deferral_rationale
EML-OPCODE-LIBRARY	module-const	crates/simthing-core/src/eml_nodes.rs	opcode	LITERAL_F32,SLOT_VALUE,PARAM,TARGET_VALUE,NEIGHBOR_VALUE,ADD,SUB,MUL,NEG,DIV,MIN,MAX,CLAMP_BOUNDED,CLAMP_FLOORED,ABS,FLOOR,EXP,LN,CMP_LT,CMP_LE,CMP_GT,CMP_GE,CMP_EQ,SELECT,RETURN_TOP	n/a	DA approval for every EML opcode addition	production	mapping-eml-ingress	crates/simthing-core/src/property.rs	opcode::EXP =>	mapping-eml-ingress>rf-triad-resolution>unified-simthing-execution			n/a
EML-STACK-LIBRARY	regex-symbol	crates/simthing-core/src/**/*.rs	^pub fn ([A-Za-z0-9_]*eml[A-Za-z0-9_]*)\b	crates/simthing-core/src/eml_exp.rs::eml_exp_pinned_f32,crates/simthing-core/src/eml_ln.rs::eml_ln_pinned_bits,crates/simthing-core/src/eml_ln.rs::eml_ln_pinned_f32,crates/simthing-core/src/intensity_eml.rs::compile_intensity_behavior_to_eml,crates/simthing-core/src/intensity_eml.rs::intensity_eml_direct_cpu,crates/simthing-core/src/property.rs::admit_overlay_eml_program,crates/simthing-core/src/property.rs::eval_overlay_eml,crates/simthing-core/src/property.rs::logistic_steering_eml_nodes,crates/simthing-core/src/property.rs::magnitude_band_eml_nodes	n/a	DA approval for every sealed EML stack or public EML rule addition	production	mapping-eml-ingress	crates/simthing-kernel/src/field_sweep.rs	simthing_core::eml_ln::eml_ln_pinned_f32(	mapping-eml-ingress>rf-triad-resolution>unified-simthing-execution			n/a
EML-GADGET-INSTANCE-VOCABULARY	enum	crates/simthing-spec/src/spec/eml_gadget.rs	EmlGadgetInstanceSpec	FieldSampler,WeightedAccumulator,SoftStep,VelocityMonitor,Decay,Ema,BoundedFeedback,Hysteresis,Acceleration,PowerLaw	n/a	DA approval for every authored gadget vocabulary addition	production	mapping-eml-ingress	crates/simthing-spec/src/compile/eml_gadget.rs	compile_gadget_instance(instance, kind, opts)?	mapping-eml-ingress>rf-triad-resolution>unified-simthing-execution			n/a
EML-GADGET-KIND-VOCABULARY	enum	crates/simthing-spec/src/compile/eml_gadget.rs	EmlGadgetKind	FieldSampler,WeightedAccumulator,SoftStep,VelocityMonitor,Decay,Ema,BoundedFeedback,Hysteresis,Acceleration,PowerLaw	n/a	DA approval for every compile-side gadget vocabulary addition; must remain 1:1 with EML-GADGET-INSTANCE-VOCABULARY	production	mapping-eml-ingress	crates/simthing-spec/src/compile/eml_gadget.rs	let kind = kind_from_instance(instance)?	mapping-eml-ingress>rf-triad-resolution>unified-simthing-execution			n/a
ACTIONBAND-TARGET-FORMS	enum	crates/simthing-spec/src/spec/action_band.rs	ActionBandTargetSpec	Point,ScalarBound,Interval,AxisAlignedBox,LocusRadius,PalmaReachableSet,EmlProjectedSet	n/a	DA approval for every closed target-form addition	production	actionband-ingress	crates/simthing-spec/src/compile/action_band_admission.rs	let target = compile_target(	actionband-ingress>rf-triad-resolution>unified-simthing-execution			n/a
ACTIONBAND-CHANNEL-FORMS	enum	crates/simthing-spec/src/spec/action_band.rs	ActionBandChannelKind	Primitive,CachedDerived	n/a	DA approval for every admitted axis/channel form	production	actionband-ingress	crates/simthing-spec/src/compile/action_band_admission.rs	kind: channel.kind	actionband-ingress>rf-triad-resolution>unified-simthing-execution			n/a
ACTIONBAND-SESSION-CAPS	struct-fields	crates/simthing-spec/src/spec/action_band.rs	ActionBandAdmissionBudgetSpec	axis_channel_count,dependency_binding_count,storage_rows,eml_program_count,emission_binding_count	n/a	DA approval for every admission-sealed cap widening	production	actionband-ingress	crates/simthing-spec/src/compile/action_band_admission.rs	spec.budget.axis_channel_count	actionband-ingress>rf-triad-resolution>unified-simthing-execution			n/a
ACTIONBAND-TEMPLATE-CAPS	struct-fields	crates/simthing-spec/src/spec/action_band.rs	ActionBandTemplateSpec	id,label,axis_channels,target,velocity,bands,subordinate_template_ids,max_active_subordinates,reserved_instance_rows,requirement_semantics	n/a	DA approval for every subordination-span or template-cap widening	production	actionband-ingress	crates/simthing-spec/src/compile/action_band_admission.rs	for (template_index, template) in spec.templates.iter().enumerate()	actionband-ingress>rf-triad-resolution>unified-simthing-execution			n/a
ACTIONBAND-SINGLE-CROSSING	crossing-symbols	crates/simthing-*/src/**/*.rs	constitutional-crossing-declaration	crates/simthing-driver/src/action_band_consequence.rs::CrossingConsequenceAdmissionError,crates/simthing-driver/src/action_band_consequence.rs::CrossingConsequenceBinding,crates/simthing-driver/src/action_band_consequence.rs::CrossingConsequenceDispatch,crates/simthing-driver/src/action_band_consequence.rs::CrossingConsequenceDispatchError,crates/simthing-driver/src/action_band_consequence.rs::CrossingConsequenceDispatchOutcome,crates/simthing-driver/src/action_band_consequence.rs::CrossingConsequenceSession,crates/simthing-kernel/src/accumulator_op/action_band_execution.rs::ActionBandCrossingBatch,crates/simthing-kernel/src/accumulator_op/action_band_execution.rs::ActionBandCrossingConsumptionKey,crates/simthing-kernel/src/accumulator_op/action_band_execution.rs::ActionBandCrossingInputGpu,crates/simthing-kernel/src/cpu_oracle.rs::threshold_crossed_cpu,crates/simthing-kernel/src/decision_ingress.rs::ThresholdCrossingToken,crates/simthing-kernel/src/sealed/band_crossing_delta.rs::BandCrossingDelta,crates/simthing-kernel/src/sealed/band_crossing_delta.rs::BandCrossingDirection,crates/simthing-spec/src/compile/action_band_admission.rs::ActionBandCrossingBinding	n/a	retire only when a single crossing authority is unrepresentable by construction	production	actionband-ingress	crates/simthing-driver/src/session.rs	.dispatch_sealed_and_apply(	actionband-ingress>rf-triad-resolution>unified-simthing-execution			n/a
EML-TELEMETRY-LIFECYCLE	marker-bound-regex	crates/simthing-{core,kernel,gpu,sim,driver}/src/**/*.rs	(?:Eml\w*(?:Telemetry|InvocationProfile|CallProfile)|(?:Telemetry|InvocationProfile|CallProfile)\w*Eml|eml_\w*(?:telemetry|invocation_profile|call_profile))		EML-TELEMETRY-LIFECYCLE: session-observation-snapshot	retire only when telemetry scope/lifecycle binding is carried by an unforgeable type	guard	telemetry-lifecycle-guard						n/a
