# StemThing 3.1 slot-bearing-artifact census (STEMTHING-CENSUS-TIER2-SESSION @ a3183b17)
# schema: artifact | crate:file evidence | representation | lifetime | order-bearing | replay-bearing | rebind path under shape (a) | verdict
# verdict classes: REBIND-FREE / REBIND-AT-BOUNDARY / ORDER-PIN / REPLAY-RECORD / BLOCKER
K1-accumulator-op-pods	kernel:accumulator_op/encode.rs kernel:accumulator_op/packed_session_upload.rs + [analysis] kernel:shaders/accumulator_op.wgsl kernel:accumulator_op/input_list_table.rs	typed SlotIndex -> raw u32 at WGSL boundary	tick-transient GPU tables	no	no	re-encoded by packed session upload at boundary structural sync	REBIND-AT-BOUNDARY
K1-threshold-registrations	sim:threshold_registry.rs	typed SlotIndex	session-resident	no	no	registry re-resolves id->slot at boundary re-upload	REBIND-AT-BOUNDARY
K1-eml-eval-ctx	[analysis] core:eml_registry.rs kernel:field_sweep.rs(ctx mint)	raw u32 eval_slot in ctx	tick-transient	no	no	ctx built per dispatch from resolved plan	REBIND-FREE
K2-input-list-tables	driver:arena_allocation_plan.rs	typed->raw INPUT_LIST entries	tick-transient upload	YES (linear fold order)	no	entries re-resolved from membership at boundary; fold order derives from authored/dense structural order, not physical row	REBIND-AT-BOUNDARY
K2-link-adjacency	driver:structural_link_accumulator_compile.rs	dense structural indices (row,col,system_id sort)	compile product	YES	no	dense index minted from authored placements; ORDER IS LOGICAL BY CONSTRUCTION (sort key row,col,system_id)	REBIND-AT-BOUNDARY
K3-field-sweep-registration	kernel:field_sweep.rs driver:field_sweep_compile.rs	FieldAdjacency slots + CanonicalOrderProof fingerprint	session-resident	YES (sealed)	no	order fingerprint derives from adjacency built on authored/dense keys; re-mint proof at boundary recompile	REBIND-AT-BOUNDARY
K3-cell-space-conflation	gpu:field_sweep_instances.rs:44-62	SlotIndex used for dense CELL index (dest_y*width+dest_x) incl. baked EML literal	program data	no	no	cell-space index derives from authored coords; NOT a physical matrix row; amendment must name the two spaces	REBIND-FREE
K3-conductance-certificates	[analysis] kernel:field_sweep.rs (chi certificate surfaces; file primary-assigned to K3-field-sweep-registration)	per-slot vec indexed by adjacency slot	session-resident	no	no	keyed to adjacency (dense/logical); re-applied at recompile	REBIND-AT-BOUNDARY
K4-emission-readback	kernel:emission_accumulator.rs kernel:intensity_accumulator.rs + [analysis] kernel:gpu_readback.rs	raw u32 slot in EmissionRecordGpu/ThresholdEmissionGpu	boundary-transient	no	no	consumed and resolved to ids within the same boundary; never persisted	REBIND-FREE
K4-sealed-band-crossing	kernel:sealed/band_crossing_delta.rs kernel:sealed/anchor_table.rs	typed SlotIndex inside sealed records	boundary-transient	no	no	sealed records minted per boundary from live readback	REBIND-FREE
C1-slot-allocator	kernel:slot.rs	free-list of physical rows	session-resident	no	no	becomes the physical side of the binding table; free-list rebuilt at epoch remap	REBIND-AT-BOUNDARY
C1-id-slot-map	kernel:world_state.rs driver:install.rs	id->SlotIndex map	session-resident	no	no	THE BINDING TABLE - the natural home of the logical/physical split	REBIND-AT-BOUNDARY
C1-cpu-shadow	feeder:patcher.rs sim:boundary.rs	row-major cache addressed by slot	boundary-authoritative	no	no	full readback/upload already at boundary; remap = re-address during upload	REBIND-AT-BOUNDARY
C1-spec-session-live-slots	driver:spec_session.rs (session_root_slot: u32; ScriptedEventInstance.current_slot; refresh_scripted_event_slots)	raw u32 mirrors of allocator truth	session-resident	no	feeds P1 spec-replay delta	refresh_scripted_event_slots() already re-derives from SlotAllocator::slot_of at boundary - the existing refresh path IS the rebind path; retype to typed boundary rides 6.4	REBIND-AT-BOUNDARY
C1-arena-registry	driver:need_binding.rs driver:gated_rates.rs driver:owner_silo_accumulator_compile.rs driver:resource_economy_boundary_schedule.rs driver:resource_economy_compile.rs driver:resource_flow_burn_in.rs driver:resource_flow_compile.rs driver:resource_flow_convergence_burn_in.rs driver:resource_flow_derivation.rs driver:resource_flow_enrollment.rs driver:resource_flow_fission_enrollment.rs driver:resource_flow_preflight.rs	(ArenaIdx,SlotId) membership + plans	session-resident	no	no	membership re-derived by incremental selector refresh at boundary (existing path)	REBIND-AT-BOUNDARY
C2-fission-lineage	sim:fission.rs + [analysis] core:fission_child_spawn.rs	ids primary; slot via slot_of at use	session-resident	no	no	id-keyed; slot resolved through binding table at use	REBIND-FREE
