system_id	group	canonical_source	production_path	planned_exposure	load_bearing	lb_reason	instrument	status_instrument	status_characterization	status_historical	status_release	status_execution	status_debt	candidate_eligibility	evidence_owner
EXACT-PROJECTION-R	exact-market	canon-8.4.1;unification-15.0	crates/simthing-spec/src/spec/constrained_clearing.rs;crates/simthing-driver/src/resident_clearing_runtime.rs	application default profile + frozen parity corpus + F1/F2 falsifiers	yes	runs every generation on every scope	T_R component + rehearsal_perf settlement family	planned	pending	phase14-comparator	unopened	unrun	none	PERF-SEGMENTS	0088-APPLICATION-PERFORMANCE-0
Q149-EXACT-BASIS	exact-market	canon-8.4.1;unification-14.x	crates/simthing-kernel/src/resident_clearing_plan.rs	Q149 parity referees + application live-basis path	yes	basis derivation in every settlement	T_R component	planned	pending	phase14-comparator	unopened	unrun	none	PERF-SEGMENTS	0088-APPLICATION-PERFORMANCE-0
CAP-SATURATE-REDISTRIBUTE	exact-market	canon-8.4.1;unification-15.9	crates/simthing-spec/src/spec/constrained_clearing.rs	Owner falsifier [1,100]/S=101 + 3104-run cross-product + application cap collisions	yes	collision closure cost scales with contention	rehearsal_perf settlement family	planned	pending	n/a	unopened	unrun	none	PERF-SEGMENTS	0088-APPLICATION-PERFORMANCE-0
ROTATED-TIES	exact-market	canon-8.4.1;unification-15.9	crates/simthing-spec/src/spec/constrained_clearing.rs	tie-rotation referees + permutation invariance at scale	no	correctness identity; no independent hot path	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-SCALE-SOAK-0
NEUTRAL-DEGENERATION	exact-market	canon-8.4.1;unification-15.12	crates/simthing-spec/src/spec/constrained_clearing.rs	900-comparison degeneration proof + NeutralRequest application row	no	compatibility identity only	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-INTEGRATED-ACCEPTANCE-0
U32-ADMISSION-EXACTNESS	exact-market	canon-8.4.1;unification-15.6	crates/simthing-spec/src/compile	2^24 admission witness + application-scale intake validation	yes	whole-vector validation scaling	rehearsal_perf intake family	planned	pending	n/a	unopened	unrun	none	PERF-VALIDATION-E9B	0088-APPLICATION-PERFORMANCE-0
SPATIAL-FORWARDING-TSG	spatial-recursion	canon-8.4.2;unification-15.5	crates/simthing-driver/src/resident_clearing_runtime.rs	cross-product witness G4/U6 to child market + application deep uneven branches	yes	same-generation forwarding on every branch	T_R component + rehearsal_perf vertical family	planned	pending	n/a	unopened	unrun	none	PERF-VERTICAL	0088-APPLICATION-PERFORMANCE-0
EXACT-GRANT-CONSUMPTION	spatial-recursion	canon-8.3.2	crates/simthing-driver/src/resident_clearing_runtime.rs	receive-not-recompute mutants + application consumer paths	no	guard law; cost carried by projection rows	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-INTEGRATED-ACCEPTANCE-0
TEMPORAL-ONCE-MINT	temporal-recursion	canon-8.4.2;unification-15.13	crates/simthing-spec/src/spec/runtime_rf_tick.rs	S=51 three-generation carry + application persistent shortfall	yes	temporal preparation on every generation boundary	T_R component + rehearsal_perf carry family	planned	pending	historical-4k-row	unopened	unrun	none	PERF-CARRY	0088-APPLICATION-PERFORMANCE-0
DRAW-AUTHORED-DATUM-SEAL	temporal-recursion	canon-8.4.2;unification-15.8	crates/simthing-driver/src/session.rs	15.8 actual-SimSession witness + application Draw authority	no	admission-time authority; not per-generation hot	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-INTEGRATED-ACCEPTANCE-0
