scan-id | branch | outcome | reason | commit
SEMANTIC-WORDS | ci-c-inner-loop-0 | green | inner-loop demo: new ThresholdSemantic::debug_kind() first draft tagged CapabilityUnlock as "faction_capability_unlock" (legacy vocabulary, echoing the variant's own doc comment); doctrine_scan.sh caught it as a real INSPECT before PR; renamed to "capability_unlock" (drops legacy term, matches sibling tag naming with no subject prefix); final whole-tree scan PASS 0; transcript in docs/tests/ci-c-inner-loop-0_results.md | fd11b746
SURFACE-TRUTH	grok/tests-compile-floor-non-bevy-0	green	GHA INSPECT was cargo-public-api tooling gap on runner, not divergence: DA ran doctrine_surface_truth.sh locally on identical head f5bed60d -> PASS public API matches baseline; follow-up noted to split divergence vs tooling-gap INSPECT reasons	f5bed60d37
SPEC-LOWERER-KIND-READ | tp-combat-arena-0 | green | TP-COMBAT-ARENA-0 owner-cleared Homing Boundary exception: hydrate_combat_arena.rs GameSession tree-walk kind reads navigate canonical Scenario->GameSession->GalaxyMap envelope for combat_arena_payload lowering; non-gameplay closed-lowerer navigation only; owner bonus and GPU==CPU oracle parity proven; DA review recorded in docs/tests/tp_combat_arena_0_results.md | ownerclr
TEST-BUDGET | studio-sim-clock-0 | green | STUDIO-SIM-CLOCK-0: four named headless proofs (pause freeze, 2x/4x ratios, max_tps cap, Spec non-mutation) are distinct load-bearing semantics required by the handoff - not malformed-input enumeration theater; table-driven collapse would obscure the named regression each catches | 85abd69d015638d945397ba1b6dc3c7694e8373e
TEST-BUDGET | oc-k-exact-gate-0 | green | OC-K-EXACT-GATE-0: 7 tests are distinct door semantics, not variants - approximate-reaches-gate-today forgeability, Candidate-F mint, diagnostic-blocked-from-threshold, diagnostic-blocked-from-commitment, token parity bits vs CPU oracle, allowlisted end-to-end, registration door shape; DA-verified 7/7 first-hand at re-audit | a78092bf
TEST-BUDGET | oc-k-decision-ingress-0 | green | OC-K-DECISION-INGRESS-0: 6 tests are distinct door semantics - forgeability-today demo, sealed-path mint, cpu-diagnostic conversion block, approximate conversion block, raw-POD constructor block, boundary locus-mismatch bind failure; DA-verified 6/6 first-hand | 04799819
TEST-BUDGET | oc-k-eml-opcode-gate-0 | green | OC-K-EML-OPCODE-GATE-0: 6 tests are distinct door semantics - forgeability-today residual, unwhitelisted opcode blocked, unwhitelisted combine blocked, generic primitive Tier-2 parity, semantic opcode never admissible, SoftStep policy conditional gadget; compiler/type does not own raw EmlNode.opcode POD residual or pathway oracle; permanent-residue:seal-proof; delete-at-closeout: no
TEST-BUDGET | studio-sim-clock-ui-0 | green | STUDIO-SIM-CLOCK-UI-0: 6 named headless transport proofs are distinct load-bearing semantics (pause freeze, play enable, rates, invalid max-tps preserves, readout tracks clock, no Spec mutation); table-driven collapse would obscure named regressions | permanent-residue:behavior-regression
TEST-BUDGET | studio-live-session-bridge-0 | green | STUDIO-LIVE-SESSION-BRIDGE-0: 8 named headless proofs are distinct (play consume, pause freeze, json multitick, clause path, identity/STEAD, production path, no Spec mutation, error surfacing); not enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-live-observe-0 | green | STUDIO-LIVE-OBSERVE-0: 10 named headless proofs are distinct (update running, freeze pause, not Bevy frame, no execute ticks, no Spec mutation, session/STEAD, error/unattached, no workshop/gameplay, projection-only tree, rate/TPS track); not enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-scenario-library-ui-0 | green | STUDIO-SCENARIO-LIBRARY-UI-0: 12 named proofs cover distinct load-bearing modal pause, no-autoplay, authority IO, Clause resolver, identity/STEAD, deferred Create, non-mutation, dependency, and error-surface regressions required by the handoff; not malformed-input enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-scenario-library-create-0 | green | STUDIO-SCENARIO-LIBRARY-CREATE-0: 12 named proofs cover distinct loadable create, STEAD/links, authority boundary, save/load identity, failure atomicity, modal pause, no-autoplay, zero bridge tick, activated affordance, no TP defaults, no workshop/gameplay, and fail-loud errors; not malformed-input enumeration theater | permanent-residue:behavior-regression
