census_surface_id	ruled_disposition	pre_authorized_transition	executing_rung	batch	notes
LEGACY-STUDIO-LIVE-BRIDGE-PROFILES	converge	internalize -> census row retired when compose_recursive_rf_profile substitution and legacy hydrate-root branch are replaced by canonical live-profile composition	0088-INGRESS-FIDELITY-0	B1	the F1 confirmed defect; the 1.1 convergence PR mints this census row and retires it in the same lifecycle; removal of the three-candidate substitution alone does not close F1
LEGACY-CLAUSETHING-PROJECTION-ADAPTERS	converge	internalize -> census row retired when projection/rebind adapters are owned by the canonical scenario authority	0088-INGRESS-FIDELITY-0	B1	embedded-lattice rebind requirement becomes an explicit declared dependency or is converged away
LEGACY-STUDIO-MAPGEN-HYDRATION	converge	internalize -> census row retired when Studio generation conversion is one canonical scenario-ingestion adapter	0088-INGRESS-FIDELITY-0	B1
LEGACY-STUDIO-GENERATION-PRESETS	converge	internalize -> census row retired when preset semantics converge on MapGenerator parameter/registry data	0088-INGRESS-FIDELITY-0	B1
AUTHORING-INGRESS-CANONICAL-JSON	converge	internalize -> classification tightened when the Studio path adapter consumes the admitted loader	0088-INGRESS-FIDELITY-0	B1	generated JSON stays reproducible interchange/cache; never independently edited economic source
AUTHORING-INGRESS-LITERAL-INSTALL	retire	blocked -> DELETED (row + code) ; no live session consumer; canonical routes suffice	0088-INGRESS-FIDELITY-0	B1	pre-ruled at charter under Owner Clause B; deletion through ordinary lifecycle with census update in the same PR
LEGACY-STUDIO-RUNTIME-VERTICAL-SEED	retire	remove -> row + literal seed constructor deleted	0088-INGRESS-FIDELITY-0	B1	demonstration seed; portable asset replaces it
LEGACY-KERNEL-DESIGNER-PARKING-VOCABULARY	retire	remove -> application-named parking vocabulary deleted from engine	0088-CONVERGENCE-0	B2	larger blast radius; batch with convergence-phase census edits
LEGACY-CLAUSETHING-MAPGEN-LOWERERS	converge	internalize -> census row retired when mapgen generators converge on canonical authoring/lowering ownership	0088-CONVERGENCE-0	B2
LEGACY-CLAUSETHING-HYDRATOR-SURFACES	conform-in-place	preserve-as-compat through canonical semantics; row retained; no transition	n/a	none	the canonical native-ingestion owner; F1 convergence lands INSIDE these surfaces
AUTHORING-INGRESS-CLAUSE-HYDRATION	conform-in-place	canonical; row retained; no transition	n/a	none	the one native ClauseScript ingress
AUTHORING-INGRESS-PROGRAMMATIC-SPEC	conform-in-place	canonical; row retained; no transition	n/a	none	driver admission transaction door
LEGACY-STUDIO-SESSION-SOURCE-BRANCHES	conform-in-place	preserve-as-compat; provenance only; never a second scenario authority	n/a	none
LEGACY-MAPGEN-GENERATION-MODES	conform-in-place	preserve-as-compat; authoring producer vocabulary behind spec output	n/a	none
LEGACY-MAPGEN-OUTPUT-FORMS	conform-in-place	preserve-as-compat; interchange adapters only	n/a	none
LEGACY-MAPGEN-SHAPE-STRATEGIES	conform-in-place	preserve-as-compat; registry mediated	n/a	none
ENGINE-CLAUSETHING-ZERO-DEPENDENCY-ARROW	conform-in-place	permanent guard; no transition ever	n/a	none	engine never depends on ClauseThing
REHEARSAL-CLASS-RETIREMENT	retire	active -> retired for all six rehearsal-* classes at track closeout	0088-CLOSEOUT-0	B3	classes die with the track; the closeout rung flips precedented_classes status
