# id | severity | target-glob | pattern | exclude | doctrine-ref | promotion-blocker
B3-BUFFER-ESCAPE | RELIABLE | crates/simthing-kernel/src/** | pub fn [a-z_]+\(&self\) *-> *&(wgpu::)?Buffer|^\s*pub [a-z_]+ *: *Buffer|-> *BindingResource | pub\(crate\);compile_fail;^\s*//!;^\s*///;^\s*// | design §5 B3 buffer escape | retire when buffer accessors are crate-private type boundary only
FORGE-MINTERS | RELIABLE | crates/simthing-kernel/src/** | pub fn (from_boundary_delivery|for_kernel_readback|for_boundary_install)\b | compile_fail;^\s*//!;^\s*///;^\s*// | design §5 forge minters | retire when sealed-producer allowlist scan (CI-A-ALLOWLIST-SCANS-0) subsumes explicit forge names
UNSAFE-FN | RELIABLE | crates/simthing-{kernel,sim}/src/** | \bunsafe fn\b | compile_fail;^\s*//!;^\s*///;^\s*// | design §5 unsafe fn | retire when unsafe is unrepresentable at kernel/sim type boundary
UNSAFE-ALLOW-ATTR | RELIABLE | crates/simthing-{kernel,sim}/src/lib.rs | #!\[allow\(unsafe_code\)\] |  | design §5 allow unsafe attr | retire when crate attributes are admission-typed not prose
UNSAFE-FORBID-ATTR | RELIABLE | crates/simthing-{kernel,sim}/src/lib.rs | @REQUIRE:#!\[forbid\(unsafe_code\)\] |  | design §5 forbid unsafe attr | retire when semantic-free crate template enforces forbid at type boundary
DENY-TOML-STUB | RELIABLE | deny.toml | . |  | design §0.6.6 deny.toml stub | retire when dependency policy is compile-time typed not file-shaped
COLUMN-INDEX-MINT | HEURISTIC | crates/**/src/** | ColumnIndex::new | column_index\.rs;registry\.rs;.*accumulator_op;cpu_oracle\.rs;runtime_0080.;dress_rehearsal.;arena_allocation_plan\.rs;resource_economy_compile\.rs;first_slice_mapping_runtime\.rs;gated_rates\.rs;owner_silo_accumulator.;structural_link_accumulator.;gpu_measure_0080.;transfer_accumulator\.rs;emission_accumulator\.rs;intensity_accumulator\.rs;region_field_admission\.rs;accumulator_op_builder\.rs;compile_fail;^\s*//!;^\s*///;^\s*// | design §5 ColumnIndex::new residual tripwire (OC-K-COLUMN-ROLE-0) | retire when ColumnIndex::new is admission-gated (pub(crate) + layout-derived constructors only) — OC-K2.1 backlog
SIM-KIND-READ | HEURISTIC | crates/simthing-sim/src/** | match .*\.kind|\.kind\b | compile_fail;^\s*//!;^\s*///;^\s*//;delta_log;sim_runtime_tree;kind_production_audit;^\s*assert_|^\s*#\[test\] | design §5 sim .kind read | promote when runtime tree view is kind-free at type boundary
SEMANTIC-WORDS | HEURISTIC | crates/simthing-{sim,kernel}/src/** | faction|combat|terran|pirate|diplomacy | compile_fail;^\s*//!;^\s*///;^\s*//;^\s*assert_|^\s*#\[test\]|SimThingKind:: | design §5 semantic words below spec | promote when game semantics are spec-boundary typed only
SPEC-STRING-CHANNEL | HEURISTIC | crates/simthing-spec/src/** | owner_ref *: *(Option<)?String|resource_key *: *(Option<)?String | compile_fail;^\s*//!;^\s*///;^\s*//;channel_key\.rs | design §5 stringly channel identity | promote when channel identity is newtyped in spec admission
ALLOW-SEALED-PRODUCERS | RELIABLE | crates/simthing-kernel/src/** | @ALLOWLIST:sealed-producers |  | design §5 sealed producer allowlist | retire when sealed producers are type-boundary admitted
ALLOW-BUFFER-HANDLES | RELIABLE | crates/simthing-kernel/src/** | @ALLOWLIST:buffer-handles |  | design §5 buffer handle allowlist | retire when buffer handles are crate-private type boundary only
ALLOW-KERNEL-SURFACE | RELIABLE | crates/simthing-kernel/src/lib.rs | @ALLOWLIST:kernel-surface |  | design §5 kernel surface allowlist | retire when kernel exports are type-boundary closed
TEST-BUDGET | HEURISTIC | crates/** | @TEST_BUDGET |  | design §0.9.5 test admission budget | retire if test admission becomes a typed ledger gate end-to-end
SPEC-LOWERER-KIND-READ | HEURISTIC | crates/simthing-{spec,clausething}/src/** | match .*\.kind|\.kind\s*(==|!=)|match\s+(?:&)?kind\s*\{[\s\S]*?SimThingKind:: | compile_fail;^\s*//!;^\s*///;^\s*//;^\s*assert_|^\s*#\[test\];planet_non_grid_child_kind_label;is_admitted_planet_non_grid_child;scenario_deferral_kind_label;planet_child_location_error_kind_label;simthing_kind_label;location_participant_kind_label;non_location_participant_kind_label | ci_screening_surface §12 + design §0A.1; HEURISTIC tripwire: spec/lowering kind read may be legitimate role-resolution, but closed-lowerer hits are higher suspicion because lowerers are constitutionally closed unless a DA-authorized amendment names them | retire when spec-layer role resolution is role-keyed by SubFieldRole/column admission boundaries rather than SimThingKind branching
GUARD-KABUKI-TRIPWIRE | HEURISTIC | crates/**/{src,tests}/**/*.rs | pub fn [A-Za-z0-9_]+\([^)]*source:\s*&str[\s\S]{0,1200}source\.(contains|find|matches|lines|to_ascii_lowercase)\(|pub fn [A-Za-z0-9_]+\([^)]*path:\s*&Path[\s\S]{0,800}read_to_string\(path\)[\s\S]{0,800}\.(contains|find|matches|lines)\(|include_str!\("../src/[^"\n]*"\)\.(contains|find|matches|lines)\( | compile_fail;^\s*//!;^\s*///;^\s*// | handoff_template section H + ci_screening_surface section 4; HEURISTIC tripwire for bespoke source-scanning guards and test-side include_str source greps; HC-6: symbol with well-formed FRESH HORIZON-ENTRY(iso-date): consumer/ref is EXEMPT (dated+assessable; unmarked/stale stay FLAGGED; never bare-token forever-pass); HC-8 accepted evasion residue: PRIVATE fn source-scanner or var-bound include_str! evades the pub-fn-anchored arms (DA review is the backstop; regex intentionally NOT widened — would false-fire on legit parsers); legitimate cases route to INSPECT triage, never FAIL | retire when anti-kabuki source-scan guard review is admission-typed or no production/test guard uses source text as a proof surrogate
