# path	class	basis  # EXECUTION-STATUS-TAXONOMY-0; classes: executed|oracle|rehearsal|compile-plan
# Census: every driver/kernel pub mod is taxonomy, mixed residual (secondary evidence), or non_execution.
# DA-ruled dual-posture files hold PRIMARY class here; secondary evidence in execution_status_mixed_posture.tsv (mixed_ruled).
crates/simthing-driver/src/field_sweep_compile.rs	compile-plan	Authored PALMA and Gu-Yang specs lower to proof-admitted generic field-sweep registrations
crates/simthing-driver/src/arena_allocation_oracle.rs	oracle	CPU/judge independence surface for conservation or plan parity
crates/simthing-driver/src/arena_allocation_plan.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/arena_allocation_sync.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/arena_hierarchy.rs	compile-plan	Constructs ArenaExecutionPlan via build_execution_plan (hierarchy layout → plan)
crates/simthing-driver/src/arena_pressure.rs	compile-plan	compile_arena_pressure_scatter / pressure seed projection into plan-shaped outputs
crates/simthing-driver/src/arena_registry.rs	executed	Arena registry participation and expansion for recursive arena residency
crates/simthing-driver/src/dress_rehearsal_atlas_batch_0_gen.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_atlas_batch_0_loc.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_atlas_batch_0_pack.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_atlas_batch_0_pack_gpu.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_atlas_batch_0_store.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_atlas_batch_0_store_gpu.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r1_disruption_heatmap.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r2_recursive_allocation.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r3_capability_mask_down.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r4_field_policy_consumption.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r5_movement_reenroll.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r6_combat_hp_damage.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r6b_ship_cohort_reinforcement.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/dress_rehearsal_r6c_integrated_run.rs	rehearsal	Dress-rehearsal falsification surface (R1-R6C / atlas-batch family); not production default
crates/simthing-driver/src/field_scheduler.rs	executed	Field/policy scheduler driving ordered execution of field-related work
crates/simthing-driver/src/mapping_runtime.rs	executed	First-slice mapping runtime path (executed mapping/runtime surface)
crates/simthing-driver/src/gated_rates.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/install.rs	executed	GPU/session install boundary that lands plans onto live residency
crates/simthing-driver/src/loaded_scenario_recursive_rf_runtime_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/loaded_scenario_runtime_report_chain_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/loaded_scenario_studio_session_envelope_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/local_allocation_recursive_source_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/local_effect_application_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/local_effect_recursive_source_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/local_participant_effects_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/mapping_plan_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/min_plus_traversal_field.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/order_directive.rs	executed	Class-bound order directive admission and live player-intent ingress gate
crates/simthing-driver/src/owner_channel_rf_compile.rs	compile-plan	Generalized owner/resource/ScopeId buckets lower to existing AccumulatorOp sum plans; GPU execution is proof-only parity evidence
crates/simthing-driver/src/owner_silo_accumulator_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/owner_silo_disburse_down_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/owner_silo_recursive_source_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/owner_silo_runtime_writeback_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/planet_child_rf_accumulator_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/planet_child_rf_reduce_up_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/recursive_local_rf_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/recursive_rf_reconciliation_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/resource_economy_boundary_schedule.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_economy_burn_in.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_economy_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/resource_economy_oracle.rs	oracle	CPU/judge independence surface for conservation or plan parity
crates/simthing-driver/src/resource_economy_sync.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_flow_burn_in.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_flow_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/resource_flow_derivation.rs	compile-plan	Admission-time property/topology derivation producing the ordinary compiled arena plan
crates/simthing-driver/src/resource_flow_dynamic_enrollment_soak.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_flow_enrollment.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_flow_fission_enrollment.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_flow_convergence_burn_in.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/resource_flow_preflight.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/rf_conservation_oracle.rs	oracle	CPU/judge independence surface for conservation or plan parity
crates/simthing-driver/src/runtime_local_allocation_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/runtime_participant_property_mutation_boundary_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/runtime_participant_state_mutation_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/runtime_rf_tick_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/runtime_rf_tick_source_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/runtime_rf_tick_source_select_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/runtime_tick_history_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/runtime_tick_shell_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/scenario_candidate_from_runtime_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/scenario_candidate_save_reopen_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/scenario_canonical_io_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/scenario_ingestion_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/scenario_property_mutation_authority_boundary_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/scenario_stead_map_roundtrip_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/semantic_effect_execution_boundary_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/semantic_local_effects_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/semantic_local_effects_recursive_source_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/semantic_participant_delta_preview_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/session.rs	executed	Driver session lifecycle binding RF/tick execution into a live session
crates/simthing-driver/src/session_resource_flow_silos.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-driver/src/simulation_fabric.rs	executed	Simulation fabric hot-path: generation barriers and tick submission surface
crates/simthing-driver/src/structural_link_accumulator_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-driver/src/structural_n4_theater_compile.rs	compile-plan	Plan/compile builder producing GPU/session plans (not the live tick itself)
crates/simthing-kernel/src/accumulator_op/bootstrap_validate.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/cpu_oracle.rs	oracle	CPU/judge independence surface for conservation or plan parity
crates/simthing-kernel/src/accumulator_op/eml_program_table.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/facility_resident_plane.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/encode.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/input_list_table.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/mod.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/packed_session_upload.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/runtime.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/session.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/types.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/wgsl_path.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/accumulator_op/world_summary.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/candidate_f_magnitude.rs	executed	Candidate-F exact-magnitude door used by executed magnitude projections
crates/simthing-kernel/src/context.rs	executed	GpuContext admission for live kernel execution
crates/simthing-kernel/src/cpu_oracle.rs	oracle	CPU/judge independence surface for conservation or plan parity
crates/simthing-kernel/src/decision_ingress.rs	executed	Decision/emission ingress tokens (threshold/structural commitment path)
crates/simthing-kernel/src/emission_accumulator.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/emission_oracle.rs	oracle	CPU/judge independence surface for conservation or plan parity
crates/simthing-kernel/src/eml_opcode_gate.rs	executed	EML opcode/combine admission gate for executed AccumulatorOp evaluation
crates/simthing-kernel/src/exact_magnitude_gate.rs	executed	Exact-magnitude proof minting on the executed magnitude path
crates/simthing-kernel/src/gpu_readback.rs	executed	Kernel GPU readback of emission/threshold records after executed dispatches
crates/simthing-kernel/src/indexed_scatter.rs	executed	Indexed scatter op path (CPU scatter + validation) for kernel residency updates
crates/simthing-kernel/src/intensity_accumulator.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/field_sweep.rs	executed	Authoritative generic EML field-sweep admission, residency, dispatch, and readback path
crates/simthing-kernel/src/overlay_orderband.rs	compile-plan	plan_overlay_orderband — OrderBand plan for overlay application
crates/simthing-kernel/src/overlay_prep.rs	compile-plan	build_overlay_deltas — overlay plan prep feeding AccumulatorOp dispatch
crates/simthing-kernel/src/participation.rs	executed	Placed-participant validation/mint for spatial participation on executed trees
crates/simthing-kernel/src/passes.rs	executed	Authoritative GPU compute dispatch wrappers (run_snapshot / tick pipeline / accumulator dispatches)
crates/simthing-kernel/src/projection.rs	executed	project_tree_to_values — tree→dense matrix projection for live kernel residency
crates/simthing-kernel/src/readback.rs	executed	Kernel readback helpers for post-dispatch observation
