# Broad overlay-named functions and mutation files that are not authority routes.
# schema: token	kind	justification
core:automaton.rs:overlay_origin_structural_coord	query	Derives a structural coord from origin placement proofs. Read-only; no attach/lifecycle write.
sim:boundary.rs:sync_accumulator_overlay_add_session	gpu-plumbing	Session handle shuffle for the overlay-add accumulator. Not an overlay lifetime door.
sim:boundary.rs:overlay_compile_revision	query	Revision counter read for overlay GPU recompile. Not a route.
sim:boundary.rs:bump_overlay_compile_revision_for_test	test-hook	Test-only revision bump. Not production authority.
sim:boundary.rs:bump_overlay_compile_revision	gpu-plumbing	Dirty-bit for overlay GPU rebuild after structural/lifecycle change. Not attach/dissolve itself.
sim:delta_log.rs:overlay	query	Replay helper lookup of a live overlay by id. Read-only.
sim:sim_runtime_tree.rs:overlay_count	query	Read-only overlay cardinality.
sim:sim_runtime_tree.rs:has_overlay	query	Read-only membership.
sim:sim_runtime_tree.rs:overlay_is_active	query	Read-only lifecycle predicate.
sim:sim_runtime_tree.rs:overlay_is_suspended	query	Read-only lifecycle predicate.
sim:replay.rs:restore	mutation-file	overlays.push/retain restore OverlayAttached/Dissolved/Activated/Suspended from delta_log. Replay of classified routes, not a second authority.
kernel:accumulator_op/runtime.rs:take_overlay_session	gpu-plumbing	Session take/restore for overlay-add GPU pass. Physical session, not germ lifecycle.
kernel:accumulator_op/runtime.rs:restore_overlay_session	gpu-plumbing	Pair of take_overlay_session.
kernel:accumulator_op/runtime.rs:overlay_session	gpu-plumbing	Session accessor.
kernel:accumulator_op/runtime.rs:overlay_add_active	gpu-plumbing	Dispatch-active flag.
kernel:accumulator_op/runtime.rs:overlay_add_bands	gpu-plumbing	Band count for overlay-add.
kernel:accumulator_op/runtime.rs:overlay_active	gpu-plumbing	OrderBand overlay-active flag.
kernel:accumulator_op/runtime.rs:overlay_n_bands	gpu-plumbing	OrderBand band count.
kernel:accumulator_op/runtime.rs:ensure_overlay_session	gpu-plumbing	Ensure overlay GPU session exists.
kernel:accumulator_op/runtime.rs:clear_overlay_add	gpu-plumbing	Clear overlay-add session.
kernel:accumulator_op/runtime.rs:clear_overlay_orderband	gpu-plumbing	Clear overlay OrderBand session.
kernel:accumulator_op/runtime.rs:upload_overlay_add_ops	gpu-plumbing	Upload overlay-add ops. Physical buffer, classified apply is run_accumulator_overlays/upload_overlay_deltas.
kernel:accumulator_op/runtime.rs:upload_overlay_ops	gpu-plumbing	Upload overlay OrderBand ops.
kernel:accumulator_op/session.rs:prepare_overlay_add	gpu-plumbing	Prepare overlay-add encode.
kernel:accumulator_op/session.rs:encode_overlay_add_into	gpu-plumbing	Encode overlay-add into a pass.
kernel:overlay_orderband.rs:make_overlay_op	gpu-plumbing	Local POD constructor for a planned op. Not a lifetime route.
kernel:world_state.rs:ensure_overlay_add_accumulator	gpu-plumbing	Ensure overlay-add accumulator buffer.
kernel:world_state.rs:ensure_overlay_accumulator	gpu-plumbing	Ensure overlay OrderBand accumulator.
kernel:world_state.rs:upload_overlay_add_ops	gpu-plumbing	World-state upload of overlay-add ops.
kernel:world_state.rs:upload_overlay_add_ops_with_bands	gpu-plumbing	Banded overlay-add upload.
kernel:world_state.rs:upload_overlay_ops_with_bands	gpu-plumbing	Banded overlay OrderBand upload.
kernel:world_state.rs:set_overlay_add_dispatch	gpu-plumbing	Dispatch flag for overlay-add.
driver:install.rs:resolve_event_overlay_refs	admission	ActivateOverlayRef → ActivateOverlay rewrite at install. Not a runtime activate; the classified route is the EffectSpec variant.
driver:install.rs:validate_capability_overlay_host	admission	Host-placement admission for capability overlays. Not attach.
driver:install.rs:capability_overlay_admission_error	admission	Error constructor for overlay-host admission.
spec:boundary/capability_handler.rs:clone_overlay_ids_for_entry	query	Clone per-instance overlay ids for an entry. Book-keeping, not activate.
spec:boundary/capability_handler.rs:overlay_host	query	Resolve which SimThing hosts an overlay id. Read-only.
spec:compile/jit_exact_sqrt_artifact_admission.rs:is_field_policy_obs0_overlay_score_descriptor	field-policy	Field-policy observation-score kernel name. Unrelated to Overlay lifetime.
spec:compile/jit_exact_sqrt_artifact_admission.rs:is_field_policy_obs2_multilayer_overlay_score_descriptor	field-policy	Same; multilayer score descriptor id.
spec:compile/jit_exact_sqrt_artifact_admission.rs:is_multilayer_overlay_descriptor_id	field-policy	Id predicate for multilayer overlay-score kernels.
spec:compile/jit_exact_sqrt_artifact_admission.rs:validate_field_policy_obs0_overlay_score_contract	field-policy	Contract check for obs0 overlay-score kernel.
spec:compile/jit_exact_sqrt_artifact_admission.rs:validate_field_policy_obs2_multilayer_overlay_score_contract	field-policy	Contract check for obs2 multilayer score kernel.
spec:compile/jit_exact_sqrt_artifact_admission.rs:field_policy_obs0_overlay_score_kernel_descriptor	field-policy	Descriptor factory; not Overlay attach.
spec:compile/jit_exact_sqrt_artifact_admission.rs:field_policy_obs2_multilayer_overlay_score_kernel_descriptor	field-policy	Descriptor factory; not Overlay attach.
spec:designer_admission/mobility_owner0.rs:canonical_overlays	fixture	MobilityOwner0 admission fixture grouping. Local fixture type, not engine Overlay.
spec:designer_admission/mobility_owner0.rs:apply_overlays	fixture	MobilityOwner0 fixture compose. Does not touch simthing_core::Overlay.
spec:spec/overlay.rs:default_overlay_install	serde	Serde default for OverlaySpec.install. Authoring default, not a route.
spec:validate_order_weight.rs:validate_order_weight_overlay	admission	Order-weight validation of an OverlaySpec. Admission, classified mint is build_order_directive_overlay.
spec:validate_order_weight.rs:validate_runtime_player_overlay_magnitude	admission	Runtime magnitude gate helper used by gate_raw_player_overlay.
