glob	trigger_domains
crates/simthing-kernel/**	kernel,seal,unsafe-adjacent,kernel-columns,kernel-eml,kernel-magnitude,scenario-candidate-home,core-0087,field-sweep-preservation,actionband,overlay-closure,rehearsal-0088
crates/simthing-gpu/**	gpu,wgsl,seal,structural-execution,scenario-candidate-home,core-0087,field-sweep-preservation,actionband,rehearsal-0088
crates/simthing-sim/**	sim,field-policy,scenario-candidate-home,core-0087,field-sweep-preservation,actionband,overlay-closure,rehearsal-0088
**/*.wgsl	wgsl,field-policy,sim
crates/simthing-driver/**	driver,field-policy,overlay,structural-execution,scenario-candidate-home,founding-ontology,stead,core-0087,actionband,overlay-closure,rehearsal-0088
crates/simthing-mapeditor/**	studio,mapeditor-gpu,mapeditor-session,map-domain,scenario-candidate-home,field-policy,founding-ontology,stead,core-0087,rehearsal-0088
crates/simthing-mapgenerator/**	mapgenerator,map,map-domain,movement-front,clausething-spatial,scenario-candidate-home,core-0087
crates/simthing-clausething/**	spatial,clausething-spatial,map,scenario-candidate-home,core-0087,rehearsal-0088
docs/stead_spatial_contract.md	stead,spatial,structural-execution
docs/adr/**	driver-session,feeder-session,mapeditor-session,feeder,capability-paths
docs/design_0_0_8_3.md	spec-fidelity,exact-numeric,founding-ontology,clausething
docs/simthing_core_design.md	field-policy,one-tree,property-value,drift-detectors,movement-front
scripts/ci/doctrine_anchors.tsv	gate-wiring,orientation
scripts/ci/anchor_triggers.tsv	gate-wiring,orientation
crates/simthing-spec/**	spec,hydration,scenario-candidate-home,core-0087,actionband,overlay-closure,rehearsal-0088
crates/simthing-feeder/**	feeder,capability-paths,scenario-candidate-home,core-0087,overlay-closure
crates/simthing-core/**	scenario-candidate-home,core-0087,overlay,rf,property-value,stead,threshold-paths,overlay-closure,rehearsal-0088
crates/simthing-tools/**	scenario-candidate-home
scripts/ci/**	gate-wiring,orientation
.github/workflows/**	gate-wiring
docs/stead_stemthing_unification.md	stead,rf,core-0087,kernel-columns
docs/full_eml_unification.md	kernel-eml,kernel,core-0087,field-sweep-preservation
crates/simthing-kernel/src/resident_clearing_plan.rs	rf-market-core,constrained-clearing
crates/simthing-sim/src/grant_disbursement.rs	rf-market-core,constrained-clearing
crates/simthing-core/src/grant_lifecycle.rs	rf-market-core,constrained-clearing
crates/simthing-spec/src/spec/flow_market.rs	rf-market-core,constrained-clearing
crates/simthing-kernel/src/clearing_weight_projection.rs	rf-market-core,constrained-clearing
scenarios/**	rehearsal-0088,scenario-candidate-home
docs/0_0_8_8_Integrated_SimThing_Rehearsal.md	rehearsal-0088,orientation
